58713.713526 -20.12560 0.06132 7.85412 33.944  0.04010 0.06120 1.3 6.8  7.1
58717.730527 -15.51980 0.05686 7.98976 39.760 -0.07861 0.05681 0.8 7.0  7.3
58722.798131 -13.34505 0.04084 7.97939 37.906 -0.04344 0.04077 1.6 9.5 10.3
58730.776476 -11.88079 0.06902 7.86223 41.076  0.00948 0.06898 0.3 5.9  6.5
58737.787439 -11.39210 0.05502 7.91822 37.043 -0.18731 0.05497 1.1 7.3  8.0
58751.680483 -11.49522 0.13698 7.77257 50.470 -0.11935 0.13696 0.2 2.7  3.0
58754.869375 -11.86970 0.10411 8.04170 41.567 -0.19085 0.10409 0.2 4.3  5.0
58776.609257 -18.18950 0.11875 7.84853 44.405  0.10114 0.11872 0.1 3.8  4.1
58784.625141 -13.42735 0.15454 8.37431 56.145  0.21230 0.15453 0.0 2.3  2.6
58815.599906 -11.57487 0.08324 8.03817 42.432 -0.01548 0.08321 0.4 4.7  5.3
58839.533646 -16.96311 0.12266 8.07095 48.363 -0.02701 0.12264 0.3 3.4  3.7
