2458706.69069155 2458706.69415487 2458706.69336632 1.845339 3.166 1036.512 1024.437 1.2090860203738325 0.006806782899450681
2458706.69084201 2458706.69430534 2458706.69351679 1.843779 3.069 1036.433 1024.477 1.214047839076768  0.006831880487000813
2458706.69099248 2458706.69445581 2458706.69366725 1.842217 3.068 1036.424 1024.357 1.22285613336114   0.006871675296379178
2458706.69114294 2458706.69460628 2458706.69381772 1.840659 2.998 1036.391 1024.52  1.2572592648841527 0.007029130122272705
2458706.6912934  2458706.69475674 2458706.69396819 1.839102 3.158 1036.271 1024.404 1.2465379231700568 0.0069803539959994694
2458706.69143229 2458706.69489563 2458706.69410708 1.837546 3.08  1036.301 1024.449 1.2481337096561764 0.007020533358731667
2458706.69158275 2458706.6950461  2458706.69425755 1.836    2.735 1036.013 1024.41  1.222773958029305  0.006839311279024747
2458706.69173322 2458706.69519657 2458706.69440801 1.834444 3.241 1035.92  1024.443 1.2228885194498633 0.0068555608727105975
2458706.69188368 2458706.69534704 2458706.69455848 1.832901 3.047 1036.063 1024.529 1.2177662120710744 0.006807989416358397
2458706.69203414 2458706.6954975  2458706.69470895 1.831375 3.003 1035.968 1024.444 1.2480930246668058 0.006931544695217952
2458706.69218461 2458706.69564797 2458706.69485941 1.829843 2.804 1036.086 1024.407 1.2387698126843343 0.0069716538130784765
2458706.69233507 2458706.69579844 2458706.69500988 1.828319 3.426 1036.033 1024.476 1.249583092095629  0.006999293704372721
2458706.69248553 2458706.6959489  2458706.69516035 1.826792 3.117 1036.211 1024.483 1.229233201520696  0.006935758413812455
2458706.692636   2458706.69609937 2458706.69531082 1.825274 3.226 1036.267 1024.415 1.2090500377687956 0.006781654274005327
2458706.69278646 2458706.69624984 2458706.69546128 1.823733 3.218 1036.316 1024.476 1.235200547767982  0.006881815960121098
2458706.69293692 2458706.69640031 2458706.69561175 1.822218 3.091 1036.223 1024.518 1.2623722184939188 0.007008513772771398
2458706.69308738 2458706.69655077 2458706.69576222 1.820702 3.048 1036.235 1024.391 1.2474806085652397 0.006977654512086103
2458706.69322627 2458706.69668967 2458706.69590111 1.819201 3.122 1036.339 1024.352 1.2059539520030502 0.006784421593576507
2458706.69337674 2458706.69684013 2458706.69605158 1.817686 3.016 1036.105 1024.399 1.22495828124446   0.0068510641380354195
2458706.6935272  2458706.6969906  2458706.69620204 1.816185 3.083 1036.267 1024.496 1.234996971136372  0.0069093475539281956
2458706.69367766 2458706.69714107 2458706.69635251 1.81469  3.023 1036.086 1024.468 1.204301650252809  0.00675121908308443
2458706.69382813 2458706.69729153 2458706.69650298 1.813176 3.081 1036.227 1024.454 1.2200332689943054 0.006811909082913788
2458706.69397859 2458706.697442   2458706.69665345 1.811688 2.786 1036.215 1024.441 1.2253703542200711 0.006848434970410888
2458706.69412905 2458706.69759247 2458706.69680391 1.810194 2.834 1036.193 1024.476 1.221442523842167  0.006905714948788299
2458706.69427951 2458706.69774294 2458706.69695438 1.808705 3.099 1036.178 1024.524 1.2245941938458975 0.006938159761348707
2458706.69442998 2458706.6978934  2458706.69710485 1.807222 3.084 1036.163 1024.365 1.2267597439386608 0.006890528817375301
2458706.69458044 2458706.69804387 2458706.69725531 1.80575  3.045 1036.316 1024.473 1.2223009301049337 0.006845093859912972
2458706.6947309  2458706.69819434 2458706.69740578 1.804274 3.037 1036.287 1024.45  1.250648130425128  0.006939443615449817
2458706.69486979 2458706.69833323 2458706.69754467 1.802796 3.048 1036.19  1024.358 1.2411649119587738 0.006905597479948926
2458706.69503183 2458706.69849527 2458706.69770672 1.801307 3.142 1036.249 1024.549 1.2442302995900163 0.006941388140455645
2458706.69517072 2458706.69863416 2458706.69784561 1.79984  3.107 1036.196 1024.511 1.2297994269340973 0.0068670998363213895
2458706.69532118 2458706.69878463 2458706.69799608 1.798372 3.063 1036.113 1024.355 1.1999049831281612 0.006768413583689798
2458706.69547164 2458706.6989351  2458706.69814654 1.796915 3.079 1036.246 1024.447 1.2199490942588163 0.006796826770969983
2458706.69562211 2458706.69908557 2458706.69829701 1.795457 3.08  1036.281 1024.409 1.237050840797264  0.006938549399254612
2458706.69577257 2458706.69923603 2458706.69844748 1.794002 3.055 1036.298 1024.352 1.2556453385895345 0.006987718290746129
2458706.69592303 2458706.6993865  2458706.69859794 1.792543 3.093 1036.141 1024.366 1.2247691890656474 0.006836134297453202
2458706.6960735  2458706.69953697 2458706.69874841 1.791091 3.244 1036.17  1024.583 1.2442284526768697 0.007003593426943132
2458706.69622396 2458706.69968743 2458706.69889888 1.789649 3.06  1036.258 1024.399 1.2454512919282867 0.00688725758438863
2458706.69637442 2458706.6998379  2458706.69904935 1.788208 3.079 1036.258 1024.423 1.2279588195294102 0.00690206452035276
2458706.69652488 2458706.69998837 2458706.69919981 1.786766 3.062 1036.205 1024.343 1.2382644503192082 0.006904068848874753
2458706.69667535 2458706.70013883 2458706.69935028 1.785333 3.103 1036.319 1024.393 1.249997328957555  0.006999067045816917
2458706.69681424 2458706.70027773 2458706.69948917 1.783892 2.736 1036.239 1024.519 1.219220575852481  0.006811215372220237
2458706.6969647  2458706.70042819 2458706.69963964 1.782467 3.071 1036.376 1024.41  1.2162510925221028 0.006822898120766775
2458706.69711516 2458706.70057866 2458706.69979011 1.781034 3.111 1036.102 1024.563 1.2086679468524761 0.0068830658063243925
2458706.69726562 2458706.70072913 2458706.69994057 1.779578 3.066 1036.153 1024.46  1.2400283929241966 0.006951582355688301
2458706.69741609 2458706.7008796  2458706.70009104 1.778168 3.067 1036.034 1024.448 1.2274238863670455 0.00684605907268669
