HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459702.48407,2022-05-02.9794296,bj,1.75,16.121,12.438,0.007,38.440,0.259,g
2459704.24173,2022-05-04.7371945,bn,1.51,16.103,12.508,0.008,36.049,0.263,g
2459706.81113,2022-05-07.3067231,br,1.36,16.380,12.577,0.007,33.835,0.204,g
2459708.75639,2022-05-09.2521077,br,1.37,16.389,12.654,0.007,31.508,0.202,g
2459709.74145,2022-05-10.2372376,bj,1.58,16.260,12.708,0.008,29.984,0.227,g
2459710.63096,2022-05-11.1267936,bF,1.61,16.289,12.807,0.009,27.359,0.222,g
2459714.35084,2022-05-14.8469189,bn,1.69,15.999,12.952,0.013,23.950,0.289,g
2459715.22443,2022-05-15.7205619,bn,1.54,16.061,13.066,0.014,21.559,0.273,g
2459717.21726,2022-05-17.7135320,bn,1.55,16.159,13.084,0.013,21.210,0.250,g
2459717.81414,2022-05-18.3104607,br,1.57,16.492,13.166,0.010,19.658,0.184,g
2459719.57355,2022-05-20.0699881,bF,2.04,16.815,13.412,0.009,15.675,0.137,g
2459721.49756,2022-05-21.9941430,bj,1.59,16.860,13.436,0.009,15.331,0.131,g
2459723.47451,2022-05-23.9712563,bj,1.57,16.894,13.497,0.010,14.502,0.127,g
2459727.19343,2022-05-27.6904703,bn,2.21,16.447,13.673,0.017,12.321,0.192,g
2459729.77895,2022-05-30.2761916,br,1.54,17.293,13.773,0.009,11.236,0.088,g
2459731.71577,2022-06-01.2131812,br,1.40,17.347,13.817,0.008,10.791,0.084,g
2459733.78276,2022-06-03.2803450,br,1.46,17.385,13.848,0.008,10.492,0.081,g
